num,img,title,field,organizer,start_day,finish_day,homepage
1,https://www.wevity.com/upload/contest/20240604001831_cb7d5b65.jpg,미래융합 인재발굴 소프트웨어 챌린지,"논문, 리포트, 웹, 모바일, IT, 게임, 소프트웨어, 과학, 공학, 예체능, 미술, 음악, 기타",과학기술정보통신부,2024-06-04,2024-06-23,http://www.gsia-sw.kr/01_sub/01_sub.html
2,https://www.wevity.com/upload/contest/20240603234341_56037113.jpg,LG 유플러스 와이낫 부스터스 시즌3 모집,"광고, 마케팅, 영상, UCC, 사진, 웹, 모바일, IT, 예체능, 미술, 음악, 대외활동, 서포터즈, 기타",LG 유플러스,2024-06-03,2024-06-18,https://bit.ly/3Kt17F9
3,https://www.wevity.com/upload/contest/20240603074436_dda167d3.jpg,[리복등 상장사 4곳] 대기업 스포츠 브랜드에서 덕질하며 두배로(X2) 인턴급 직무스펙 쌓고  바로 취업하기! (6/9 선착순 150명 마감!),"기획, 아이디어, 광고, 마케팅, 예체능, 미술, 음악, 대외활동, 서포터즈, 취업, 창업, 기타",패션비즈,2024-06-03,2024-06-09,https://blog.naver.com/fsbiz01/223466918453
4,https://www.wevity.com/upload/contest/20240603013251_0b8eea4f.jpg,제 6회 오티콘챌린지,"기획, 아이디어, 광고, 마케팅, 영상, UCC, 사진, 디자인, 캐릭터, 웹툰, 대외활동, 서포터즈","오티콘, Diatec",2024-06-03,2024-06-26,https://www.oticon-event.com
5,https://www.wevity.com/upload/contest/20240603010733_aae25c9a.jpg,[무료] [한국MICE협회] 2024 영마이스 리더 프로젝트 교육생 모집,"기획, 아이디어, 광고, 마케팅, 대외활동, 서포터즈, 취업, 창업, 기타",한국MICE협회,2024-06-03,2024-06-16,https://bit.ly/3x20uzm
6,https://www.wevity.com/upload/contest/20240603005903_f45edbb0.jpg,애경 서포터즈 AK Lover Beauty & Life Club 모집 (2024년 하반기),"광고, 마케팅, 영상, UCC, 사진, 웹, 모바일, IT, 예체능, 미술, 음악, 대외활동, 서포터즈",애경산업,2024-06-03,2024-06-19,https://bit.ly/4bZ6Eil
7,https://www.wevity.com/upload/contest/20240530021344_599ec4b9.jpg,2024 식량안보 인식 제고 국제기구 탐방 참가자 모집,"광고, 마케팅, 예체능, 미술, 음악, 대외활동, 서포터즈, 봉사활동, 해외",FAO한국협회,2024-05-16,2024-07-03,https://fao.or.kr/html/notification/notification.php?sno=0&group=basic&code=B1&abmode=view&no=8949
8,https://www.wevity.com/upload/contest/20240530152838_50b7e1b1.jpg,2024년 제3기 보험연구원 온라인 서포터즈 모집,"광고, 마케팅, 영상, UCC, 사진, 웹, 모바일, IT, 예체능, 미술, 음악, 대외활동, 서포터즈",보험연구원,2024-05-27,2024-06-16,https://kiri.or.kr/community/noticeView.do?bid=120794&tpcd=N01&searchCon=&searchWord=&page=1
9,https://www.wevity.com/upload/contest/20240529115609_908a5640.jpg,[무료] 삼성 현직자 멘토링 6월 주말반,"기획, 아이디어, 광고, 마케팅, 대외활동, 서포터즈, 취업, 창업, 기타",삼성생명,2024-05-29,2024-06-19,https://app.catchsecu.com/project/452dae0ce685495/form
10,https://www.wevity.com/upload/contest/20240528141440_d60179f7.jpg,[무료] 금융보안원 금융보안아카데미 제2기 교육생 모집,"기획, 아이디어, 논문, 리포트, 웹, 모바일, IT, 게임, 소프트웨어, 과학, 공학, 대외활동, 서포터즈","금융보안원, 금융보안포럼",2024-05-27,2024-06-17,https://www.fsec.or.kr/bbs/detail?menuNo=66&bbsNo=11489
11,https://www.wevity.com/upload/contest/20240527002326_6ce07a69.jpg,[하나금융그룹] 하나 디지털 파워온 프로젝트 3기 모집,"기획, 아이디어, 광고, 마케팅, 웹, 모바일, IT, 게임, 소프트웨어, 과학, 공학, 대외활동, 서포터즈",하나금융그룹,2024-05-27,2024-06-23,https://hana-digital.co.kr/
12,https://www.wevity.com/upload/contest/20240524005132_cdee3c40.png,제1회 헤럴드 디자인 공모전,"광고, 마케팅, 디자인, 캐릭터, 웹툰, 웹, 모바일, IT, 예체능, 미술, 음악, 기타",헤럴드,2024-05-23,2024-07-10,https://www.heraldcontest.com/
13,https://www.wevity.com/upload/contest/20240523002642_2a65dc28.jpg,2024 우지커피 영상공모전,"광고, 마케팅, 영상, UCC, 사진, 웹, 모바일, IT, 예체능, 미술, 음악, 대외활동, 서포터즈",우지커피,2024-05-01,2024-06-23,https://www.instagram.com/oozy.coffee_official/p/C6f4V5dypry/
14,https://www.wevity.com/upload/contest/20240523082030_ad293440.jpg,2024 제1회 안동문화상 미술분야 공모전,"디자인, 캐릭터, 웹툰, 예체능, 미술, 음악, 기타",재단법인 한국정신문화재단,2024-07-01,2024-07-31,https://www.kfce.or.kr/home/sub4/sub8.asp?mode=view&aseq=1543
15,https://www.wevity.com/upload/contest/20240523080015_625bc6bd.jpg,2024 제1회 안동문화상 문학분야 공모전,"논문, 리포트, 문학, 글, 시나리오, 예체능, 미술, 음악, 대외활동, 서포터즈, 기타",재단법인 한국정신문화재단,2024-07-01,2024-07-31,https://www.kfce.or.kr/home/sub4/sub8.asp?mode=view&aseq=1542
16,https://www.wevity.com/upload/contest/20240521170223_36c0f3c6.jpg,2024 CJ대한통운 미래기술 챌린지,"기획, 아이디어, 광고, 마케팅, 웹, 모바일, IT, 과학, 공학, 대외활동, 서포터즈",CJ대한통운,2024-05-20,2024-06-16,https://www.cjlogistics.com/ko/main
17,https://www.wevity.com/upload/contest/20240516163953_8423a470.jpg,오비맥주 마케팅스쿨 3기 신입생 모집,"기획, 아이디어, 광고, 마케팅, 예체능, 미술, 음악, 대외활동, 서포터즈, 취업, 창업",오비맥주,2024-05-16,2024-06-16,https://bit.ly/3WBlGXe
18,https://www.wevity.com/upload/contest/20240513014830_cd88bedb.jpg,2024년 성불평등 개선을 위한 성평등 영상콘텐츠 공모전,"광고, 마케팅, 논문, 리포트, 영상, UCC, 사진, 웹, 모바일, IT, 예체능, 미술, 음악, 대외활동, 서포터즈, 기타",제주특별자치도,2024-07-01,2024-07-19,https://ofjeju.kr/communication/notifications.htm?qType=title&act=view&seq=2072112
19,https://www.wevity.com/upload/contest/20240510095524_2d9eb3e4.jpg,[무료] 삼성생명 금융연수 프로그램 5기 참가자 모집,"기획, 아이디어, 광고, 마케팅, 대외활동, 서포터즈, 취업, 창업, 기타",삼성생명,2024-05-07,2024-06-11,https://app.catchsecu.com/project/452dae0ce685495/form
20,https://www.wevity.com/upload/contest/20240501001616_0b708c09.jpg,2024 제13회 협성독서왕 독후감 공모전,"논문, 리포트, 문학, 글, 시나리오, 예체능, 미술, 음악, 대외활동, 서포터즈, 기타",협성문화재단•북두칠성도서관,2024-07-01,2024-07-31,http://www.hscf.co.kr/kor/sub6_01.php?wr_id=13631
21,https://www.wevity.com/upload/contest/20240429164744_5abc8e3d.jpg,"[현대모비스] 2024 현대모비스 임팩트 아이디어 챌린지 참가자 모집 (~6/26,수)","기획, 아이디어, 광고, 마케팅, 논문, 리포트, 과학, 공학, 대외활동, 서포터즈",현대모비스,2024-04-29,2024-06-26,https://mobisthon.com/
22,https://www.wevity.com/upload/contest/20240426183010_0a481d86.jpg,[마감임박] 미래에셋금융서비스 TAMS 글로벌 금융인 양성과정 12기 모집,"기획, 아이디어, 광고, 마케팅, 대외활동, 서포터즈, 취업, 창업, 기타",미래에셋금융서비스,2024-05-03,2024-06-04,https://naver.me/Gl7kx6u6
23,https://www.wevity.com/upload/contest/20240530180143_6e672176.png,라이프스타일 대기업 비즈니스 실무 협업 프로젝트 참가자 모집,"기획, 아이디어, 광고, 마케팅, 예체능, 미술, 음악, 대외활동, 서포터즈, 취업, 창업, 기타",IT동아,2024-05-22,2024-06-04,https://blog.naver.com/itd_project/223425002941
24,https://www.wevity.com/upload/contest/20240422180515_76275ca7.jpg,[과학기술정보통신부] 2024년 연구실 안전 콘텐츠 및 우수사례 공모전,"광고, 마케팅, 논문, 리포트, 영상, UCC, 사진, 디자인, 캐릭터, 웹툰, 예체능, 미술, 음악, 기타",과학기술정보통신부,2024-04-22,2024-07-22,https://labs.go.kr/brdartcl/boardarticleView.do?brd_id=BDIDX_XO25aGt4j5e6pz1Af94m67&menu_nix=1Ml3W4pu&cont_idx=562
25,https://www.wevity.com/upload/contest/20240408002447_4d062079.jpg,2024 ACC 민주·인권·평화 웹툰 공모전,"광고, 마케팅, 디자인, 캐릭터, 웹툰, 웹, 모바일, IT, 예체능, 미술, 음악, 기타",국립아시아문화전당,2024-04-01,2024-06-16,https://www.acc.go.kr/main/board/board.do?PID=0701&boardID=NOTICE&category=1&action=Read&idx=2188
26,https://www.wevity.com/upload/contest/20240404165713_b7f94582.jpg,제임스 다이슨 어워드 2024 (James Dyson Award 2024),"기획, 아이디어, 광고, 마케팅, 디자인, 캐릭터, 웹툰, 웹, 모바일, IT, 과학, 공학, 건축, 건설, 인테리어",제임스 다이슨 재단,2024-04-01,2024-07-17,https://www.jamesdysonaward.org/ko-KR/
27,https://www.wevity.com/upload/contest/20240304022501_1e764137.jpg,제8회 소비자지향성 개선과제 공모전,"기획, 아이디어, 광고, 마케팅, 논문, 리포트, 예체능, 미술, 음악, 기타",공정거래위원회,2024-02-28,2024-06-07,https://contest.spectory.net/kca/kcacoa/2024/1
28,https://www.wevity.com/upload/contest/20240202102710_156ff51a.gif,제1회 안동문화상 공모전 (미술 / 문학),"디자인, 캐릭터, 웹툰, 문학, 글, 시나리오, 예체능, 미술, 음악",재단법인 한국정신문화재단,2024-07-01,2024-07-31,https://www.kfce.or.kr
29,https://www.wevity.com/upload/contest/20240604111735_30d76d45.jpg,2024 서울미래유산 스티커 공모전,"디자인, 캐릭터, 웹툰",서울특별시,2024-05-10,2024-06-12,https://mediahub.seoul.go.kr/gongmo/2000513
30,https://www.wevity.com/upload/contest/20240604023436_6af65719.jpg,2024 부산산업안전보건 사진 공모전,"영상, UCC, 사진",안전보건공단 부산광역본부,2024-06-03,2024-06-28,https://www.wevity.com/?c=find&s=1&gbn=view&gp=1&ix=87891
31,https://www.wevity.com/upload/contest/20240604022247_0bb023df.jpg,[스포츠안전재단] 대학생 영상 크리에이터 스포츠안전드림 모집,"영상, UCC, 사진",스포츠안전재단,2024-05-29,2024-06-16,https://blog.naver.com/sportsafety/223462569036
32,https://www.wevity.com/upload/contest/20240604021700_743276a2.jpg,2024 주문진 여행 릴스 공모전,"영상, UCC, 사진",강릉시청,2024-05-31,2024-06-30,https://www.wevity.com/?c=find&s=1&gbn=view&gp=1&ix=87886
33,https://www.wevity.com/upload/contest/20240604015536_6b1852dd.jpg,[SCPC 2024] 제10회 삼성전자 대학생 프로그래밍 경진대회,"게임, 소프트웨어",삼성전자,2024-06-04,2024-07-04,https://research.samsung.com/scpc
34,https://www.wevity.com/upload/contest/20240604015259_f672d2db.jpg,[동대문엽기떡볶이] 브랜드 홍보대사 엽포터즈 8기 모집,"대외활동, 서포터즈",동대문엽기떡볶이,2024-06-03,2024-06-16,https://www.yupdduk.com/sub/event/yup-event-detail?pnum=1&row=6&opt_ev=&eventno=2024060002&f_stype=&f_sval=
35,https://www.wevity.com/upload/contest/20240604014420_41c46de9.jpg,셰플러코리아 대학생 봉사단 EVERGREEN 11기 모집,봉사활동,셰플러코리아,2024-06-03,2024-06-30,https://post.naver.com/viewer/postView.naver?volumeNo=37930488&memberNo=49821023
36,https://www.wevity.com/upload/contest/20240604013001_e60bf034.jpg,한국사회공헌협회 온라인 서포터즈 9기 모집,봉사활동,한국사회공헌협회,2024-06-03,2024-06-23,https://www.wevity.com/?c=find&s=1&gbn=view&gp=1&ix=87878
37,https://www.wevity.com/upload/contest/20240604010346_eaa1d04f.jpg,인천시 청년을 위한 청년정책 아이디어 공모전 (인천 청년 르네상스),"기획, 아이디어",인천시청,2024-06-03,2024-06-28,https://youth.incheon.go.kr/dwelling/contest.jsp
38,https://www.wevity.com/upload/contest/20240604004230_8b804760.jpg,"회사는 계속 탄탄, 직원은 계속 든든! 고령자 계속고용 웹툰 공모전","디자인, 캐릭터, 웹툰",고용노동부,2024-06-03,2024-07-03,https://www.moel.go.kr/news/notice/noticeView.do?bbs_seq=20240600019
39,https://www.wevity.com/upload/contest/20240603232436_350489c6.jpg,[녹색연합] 쓰레기 없는 야구장을 위한 시민인식조사 자원활동가 모집,봉사활동,녹색연합,2024-05-31,2024-06-16,https://www.greenkorea.org/notice/106919/
40,https://www.wevity.com/upload/contest/20240603232053_e8221707.jpg,2024 KDB 스타트업 프로그램 참가팀 모집,"취업, 창업","KDB산업은행, KDB나눔재단",2024-05-13,2024-07-04,http://www.kdbstartup.or.kr/cms/process/notice/view.asp?c_show_no=37&c_check_no=36&c_relation=1&c_relation2=1&c_relation3=1&c_no=11052
41,https://www.wevity.com/upload/contest/20240603225318_8ff99e29.jpg,2024 축산유통 국민제안 경진대회,"기획, 아이디어",축산물품질평가원,2024-06-03,2024-06-30,https://ekape.or.kr/board/view.do?boardInfoNo=0024&boardNo=742&menuId=menu149208
42,https://www.wevity.com/upload/contest/20240603224634_d0385221.jpg,2024년 백암재단 청소년‧청년 사회문제해결 아이디어 공모전,"기획, 아이디어",사회복지법인 백암복지재단,2024-06-03,2024-06-30,https://baek-am.org/sub/sub06_01.php?boardid=free&mode=view&idx=498
43,https://www.wevity.com/upload/contest/20240603222521_41051a49.jpg,2024년 청소년 해양영토 토론대회 참가자 모집,기타,해양수산부,2024-05-20,2024-06-17,https://www.ocean.or.kr/brd/board/2219/L/menu/586?brdType=R&thisPage=1&bbIdx=1503&brdCodeValue=&searchField=&searchText=
44,https://www.wevity.com/upload/contest/20240603221332_bdeee216.jpg,2024 제 2회 EUMG 신인 작곡가 발굴 프로젝트 가곡 공모전,"예체능, 미술, 음악",EUMG,2024-05-25,2024-07-05,https://www.wevity.com/?c=find&s=1&gbn=view&gp=1&ix=87859
45,https://www.wevity.com/upload/contest/20240603153936_f14a9763.jpg,2024년 청소년지도사 국민인식 제고 공모전,"예체능, 미술, 음악",한국청소년활동진흥원,2024-06-01,2024-06-30,https://www.kywa.or.kr/pressinfo/notice_view.jsp?bgubun=&currPage=1&searchText=&searchColumn=&searchTextEn=&bgubun=&cate=&no=33660
46,https://www.wevity.com/upload/contest/20240603152844_755c0179.jpg,2024 KIND 국민참여단 모집,"대외활동, 서포터즈",한국해외인프라도시개발지원공사,2024-06-03,2024-06-21,http://kindkorea.or.kr/?p=18&tabGubun=bbs&nation=40&page=1&viewMode=view&idx=1994
47,https://www.wevity.com/upload/contest/20240603103854_39e5ad17.jpg,2024 제2회 상명 계당 학술논문 공모전,"논문, 리포트",상명대학교,2024-06-03,2024-09-01,https://museum.smu.ac.kr/museum/board/news2.do?mode=view&articleNo=747146&article.offset=0&articleLimit=10
48,https://www.wevity.com/upload/contest/20240604104106_6045074d.jpg,2024 대구오페라하우스 카메라타 창작오페라 소재 공모,"예체능, 미술, 음악",대구문화예술진흥원,2024-06-03,2024-06-28,https://www.daeguoperahouse.org/contents/community/page.html?mid=271272275&start=&category=&search_key=&keyword=&mode=view&no=879
49,https://www.wevity.com/upload/contest/20240603151335_fb687b29.jpg,2024 코코지 창작동화 공모전,"문학, 글, 시나리오",주식회사 코코지,2024-06-03,2024-07-07,https://kokozi.house/board/gallery/read.html?no=4412&board_no=1002
50,https://www.wevity.com/upload/contest/20240604103222_a0fd378f.jpg,2024년 창업중심대학 대구경북권 청년 창업아이템 챌린지,"취업, 창업",대구대학교 창업지원단,2024-05-29,2024-06-26,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=169288
51,https://www.wevity.com/upload/contest/20240603143042_f756d41a.jpg,2024년 한국산업기술진흥원(KIAT) 국민참여혁신단(아이디어형) 모집,"대외활동, 서포터즈",한국산업기술진흥원,2024-06-03,2024-06-28,https://kiat.or.kr/front/board/boardContentsView.do?board_id=5&contents_id=164e47f3cc2b44f4a6cc929cc479f711&MenuId=2124728cc8cc4b74a31bbe97d7977c6d
52,https://www.wevity.com/upload/contest/20240604102454_bd478a9b.jpg,치평 감탄마을 캐릭터 공모전,"디자인, 캐릭터, 웹툰",치평동 주민자치회,2024-05-20,2024-06-21,https://www.seogu.gwangju.kr/board.es?mid=a10311010100&bid=0034&list_no=130674&act=view
